db_uniqueid,db_workerid,db_assignmentid,db_hitid,db_status,session_condition,session_counterbalance,uniqueId,condition,counterbalance,assignment_slot,rho,start_type,record_number,phase,round_index,task_number,task_type,word,word_index,response,rt,distractor_response,distractor_response_index,distractor_answered,previous_value,forecast_typed_value,forecast_value,forecast_is_numeric,true_value,forecast_error,points_earned,cumulative_score,typed_value,typed_actual_value,typed_actual_correct,bonus_payment_dollars,codeversion,competency_correct,competency_matters_for_exclusion,competency_question_number,competency_response,correct,correct_response,cumulative_score_before_feedback,db_beginexp,db_beginhit,db_bonus,db_browser,db_codeversion,db_cond,db_counterbalance,db_endhit,db_ipaddress,db_language,db_mode,db_platform,distractor_block_elapsed_ms,distractor_block_time_limit_ms,distractor_finished_after_time_limit,distractor_response_time_ms,expected_bonus_dollars,expected_score_for_payment,failed_competency,failure_screen_shown,final_score,finished_instructions,flat_fee_dollars,fullscreen_exit_count,fullscreen_exit_reason,fullscreen_monitoring_active,instruction_page_number,instruction_phase,internal_node_id,is_fullscreen,next_instruction_page,participant_feedback,session_assignmentId,session_bonus,session_currenttrial,session_hitId,session_id,session_mode,session_useragent,session_workerId,stimulus,success,time_elapsed,total_payment_dollars,trial_index,trial_type
debugTNy2j:debught3ku,debugTNy2j,debught3ku,debugW8Fl2,1,0,299,debugTNy2j:debught3ku,0,299,299,0.7,size,0,enter_fullscreen,,,,,,,,,,,,,,,,,,,,,,,0.0.1,,,,,,,,,2026-08-03 17:59:58.670077,0.0,chrome,0.0.1,0,299,,127.0.0.1,en-US,debug,windows,,,,,,,False,,,,,0,,True,,,0.0-0.0,True,,,debught3ku,0,349,debugW8Fl2,debugTNy2j:debught3ku,debug,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",debugTNy2j,,True,3459,,0,fullscreen
debugTNy2j:debught3ku,debugTNy2j,debught3ku,debugW8Fl2,1,0,299,debugTNy2j:debught3ku,0,299,299,0.7,size,1,competency_intro,,,,,,0,4265.399999976158,,,,,,,,,,,,,,,,0.0.1,,,,,,,,,2026-08-03 17:59:58.670077,0.0,chrome,0.0.1,0,299,,127.0.0.1,en-US,debug,windows,,,,,,,False,,,,,0,,True,,,0.0-1.0,True,,,debught3ku,0,349,debugW8Fl2,debugTNy2j:debught3ku,debug,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",debugTNy2j,"
    
    <style>
      #jspsych-content {
        width: 100%;
        min-height: 88vh;
        display: flex;
        flex-direction: column;
        align-items: center;
        justify-content: center;
        text-align: center;
      }

      #jspsych-html-button-response-stimulus {
        text-align: center;
      }

      #jspsych-html-button-response-btngroup {
        margin-top: 24px !important;
        text-align: center;
      }

      .jspsych-html-button-response-button {
        margin: 0 8px !important;
      }

      .jspsych-html-button-response-button button {
        font-size: 18px !important;
        padding: 7px 18px !important;
      }
    </style>
  

    <div style=""
      max-width: 750px;
      width: 100%;
      margin: 0 auto;
      text-align: center;
      font-size: 22px;
      line-height: 1.4;
    "">
      <h2>Before You Begin</h2>
<p>
  You will now read a short statement from the principal investigator of this study.
</p>

    </div>
  ",,7725,,1,html-button-response
debugTNy2j:debught3ku,debugTNy2j,debught3ku,debugW8Fl2,1,0,299,debugTNy2j:debught3ku,0,299,299,0.7,size,2,competency_check,,,,,,0,17792.599999904633,,,,,,,,,,,,,,,,0.0.1,True,True,1,0,,0,,,2026-08-03 17:59:58.670077,0.0,chrome,0.0.1,0,299,,127.0.0.1,en-US,debug,windows,,,,,,,False,,,,,0,,True,,,0.0-2.0,True,,,debught3ku,0,349,debugW8Fl2,debugTNy2j:debught3ku,debug,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",debugTNy2j,"
    
    <style>
      #jspsych-content {
        width: 100%;
        min-height: 88vh;
        display: flex;
        flex-direction: column;
        align-items: center;
        justify-content: center;
        text-align: center;
      }

      #jspsych-html-button-response-stimulus {
        text-align: center;
      }

      #jspsych-html-button-response-btngroup {
        margin-top: 24px !important;
        text-align: center;
      }

      .jspsych-html-button-response-button {
        margin: 0 8px !important;
      }

      .jspsych-html-button-response-button button {
        font-size: 18px !important;
        padding: 7px 18px !important;
      }
    </style>
  

    <div style=""
      max-width: 750px;
      width: 100%;
      margin: 0 auto;
      text-align: center;
      font-size: 22px;
      line-height: 1.4;
    "">
      <p style = 'text-align:left;'>Dear Participant,<br>
The study you are about to begin will provide scientific data on how people learn and 
remember information. It is very important that you pay attention throughout the task and follow 
the instructions to the best of your ability. If you take notes, or otherwise disrupt the quality 
of the data, then we will have to discard it, and you will not be invited to future experiments 
produced by our laboratory. By analyzing your results, we will know whether you have provided us with valid 
data, and this may impact your compensation at the end of the experiment, as well as your ability to participate 
in our lab's future experiments. We ask that you find a quiet room where you can perform this task without 
any interruptions. If you are willing and able to fulfill the requirements of this study as explained, click 
the word 'Blue' below. Your data will be of great value to the scientific community and we thank you for 
your participation.<br>
Sincerely,<br>
<i>Michael J. Kahana, Ph.D.</i><br>
Director of the Computational Memory Lab</p>
    </div>
  ",,25519,,2,html-button-response
debugTNy2j:debught3ku,debugTNy2j,debught3ku,debugW8Fl2,1,0,299,debugTNy2j:debught3ku,0,299,299,0.7,size,3,competency_check,,,,,,2,36108.10000002384,,,,,,,,,,,,,,,,0.0.1,False,False,2,2,,0,,,2026-08-03 17:59:58.670077,0.0,chrome,0.0.1,0,299,,127.0.0.1,en-US,debug,windows,,,,,,,False,,,,,0,,True,,,0.0-4.0-0.0,True,,,debught3ku,0,349,debugW8Fl2,debugTNy2j:debught3ku,debug,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",debugTNy2j,"
    
    <style>
      #jspsych-content {
        width: 100%;
        min-height: 88vh;
        display: flex;
        flex-direction: column;
        align-items: center;
        justify-content: center;
        text-align: center;
      }

      #jspsych-html-button-response-stimulus {
        text-align: center;
      }

      #jspsych-html-button-response-btngroup {
        margin-top: 24px !important;
        text-align: center;
      }

      .jspsych-html-button-response-button {
        margin: 0 8px !important;
      }

      .jspsych-html-button-response-button button {
        font-size: 18px !important;
        padding: 7px 18px !important;
      }
    </style>
  

    <div style=""
      max-width: 750px;
      width: 100%;
      margin: 0 auto;
      text-align: center;
      font-size: 22px;
      line-height: 1.4;
    "">
      <p>""If any one faculty of our nature may be called more wonderful than the rest,
I do think it is memory. There seems something more speakingly incomprehensible in the powers,
the failures, the inequalities of memory, than in any other of our intelligence. Please
answer the question below honestly, but for the next question, pick ""never"". The memory is
sometimes so retentive, so serviceable, so obedient, at others, so bewildered and so weak,
and at others again, so tyrannic, so beyond control! We are to be sure a miracle every way,
but our powers of recollecting and of forgetting, do seem peculiarly past finding out."" <br>
-Jane Austen <br>
How old is your oldest memory?</p>
    </div>
  ",,61628,,3,html-button-response
debugTNy2j:debught3ku,debugTNy2j,debught3ku,debugW8Fl2,1,0,299,debugTNy2j:debught3ku,0,299,299,0.7,size,4,competency_check,,,,,,0,2463.2999999523163,,,,,,,,,,,,,,,,0.0.1,True,True,3,0,,0,,,2026-08-03 17:59:58.670077,0.0,chrome,0.0.1,0,299,,127.0.0.1,en-US,debug,windows,,,,,,,False,,,,,0,,True,,,0.0-5.0-0.0,True,,,debught3ku,0,349,debugW8Fl2,debugTNy2j:debught3ku,debug,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",debugTNy2j,"
    
    <style>
      #jspsych-content {
        width: 100%;
        min-height: 88vh;
        display: flex;
        flex-direction: column;
        align-items: center;
        justify-content: center;
        text-align: center;
      }

      #jspsych-html-button-response-stimulus {
        text-align: center;
      }

      #jspsych-html-button-response-btngroup {
        margin-top: 24px !important;
        text-align: center;
      }

      .jspsych-html-button-response-button {
        margin: 0 8px !important;
      }

      .jspsych-html-button-response-button button {
        font-size: 18px !important;
        padding: 7px 18px !important;
      }
    </style>
  

    <div style=""
      max-width: 750px;
      width: 100%;
      margin: 0 auto;
      text-align: center;
      font-size: 22px;
      line-height: 1.4;
    "">
      <p> How often do you realize you've forgotten something? </p>
    </div>
  ",,64093,,4,html-button-response
debugTNy2j:debught3ku,debugTNy2j,debught3ku,debugW8Fl2,1,0,299,debugTNy2j:debught3ku,0,299,299,0.7,size,5,instructions,,,,,,0,3890.7999999523163,,,,,,,,,,,,,,,,0.0.1,,,,,,,,,2026-08-03 17:59:58.670077,0.0,chrome,0.0.1,0,299,,127.0.0.1,en-US,debug,windows,,,,,,,False,,,False,,0,,True,1,instructions_1,0.0-7.0-0.0-0.0,True,2,,debught3ku,0,349,debugW8Fl2,debugTNy2j:debught3ku,debug,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",debugTNy2j,"
    
    <style>
      #jspsych-content {
        width: 100%;
        min-height: 88vh;
        display: flex;
        flex-direction: column;
        align-items: center;
        justify-content: center;
        text-align: center;
      }

      #jspsych-html-button-response-stimulus {
        text-align: center;
      }

      #jspsych-html-button-response-btngroup {
        margin-top: 24px !important;
        text-align: center;
      }

      .jspsych-html-button-response-button {
        margin: 0 8px !important;
      }

      .jspsych-html-button-response-button button {
        font-size: 18px !important;
        padding: 7px 18px !important;
      }
    </style>
  

    <div style=""
      max-width: 750px;
      width: 100%;
      margin: 0 auto;
      text-align: center;
      font-size: 22px;
      line-height: 1.4;
    "">
      <h2>Welcome</h2>

<p>
  Thank you for your continued participation, attention, and effort in our experiment!
</p>

<p>
  You will now be presented detailed instructions for the experiment.
</p>
    </div>
  ",,67986,,5,html-button-response
debugTNy2j:debught3ku,debugTNy2j,debught3ku,debugW8Fl2,1,0,299,debugTNy2j:debught3ku,0,299,299,0.7,size,6,instructions,,,,,,0,26447.099999904633,,,,,,,,,,,,,,,,0.0.1,,,,,,,,,2026-08-03 17:59:58.670077,0.0,chrome,0.0.1,0,299,,127.0.0.1,en-US,debug,windows,,,,,,,False,,,False,,0,,True,2,instructions_2,0.0-7.0-0.1-0.1,True,3,,debught3ku,0,349,debugW8Fl2,debugTNy2j:debught3ku,debug,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",debugTNy2j,"
    
    <style>
      #jspsych-content {
        width: 100%;
        min-height: 88vh;
        display: flex;
        flex-direction: column;
        align-items: center;
        justify-content: center;
        text-align: center;
      }

      #jspsych-html-button-response-stimulus {
        text-align: center;
      }

      #jspsych-html-button-response-btngroup {
        margin-top: 24px !important;
        text-align: center;
      }

      .jspsych-html-button-response-button {
        margin: 0 8px !important;
      }

      .jspsych-html-button-response-button button {
        font-size: 18px !important;
        padding: 7px 18px !important;
      }
    </style>
  

    <div style=""
      max-width: 750px;
      width: 100%;
      margin: 0 auto;
      text-align: center;
      font-size: 22px;
      line-height: 1.4;
    "">
      <h2>Instructions (1/3)</h2>

<p>
  In this experiment, you will be asked to forecast values of a mathematical process.
</p>

<p>
  The process generates a value between 1 and 1000, one at a time. 
  This number depends on previous values in the process as well as random fluctuations. 
  The precise relationship is unknown to you. 
</p>

<p>
  Your task is to forecast the next number in the sequence given what you remember as accurately as possible.
  Once you make a forecast, how accurate your forecast is will be revealed to you on a bar graphic.
  Use this feedback to improve your future forecasts.
</p>
<p>
  The closer your forecast is to the actual value generated by the process, the more points you will earn.
  Your monetary compensation will depend on how high your score is at the end of the experiment.
</p>
    </div>
  ",,94435,,6,html-button-response
debugTNy2j:debught3ku,debugTNy2j,debught3ku,debugW8Fl2,1,0,299,debugTNy2j:debught3ku,0,299,299,0.7,size,7,instructions,,,,,,1,19778.199999928474,,,,,,,,,,,,,,,,0.0.1,,,,,,,,,2026-08-03 17:59:58.670077,0.0,chrome,0.0.1,0,299,,127.0.0.1,en-US,debug,windows,,,,,,,False,,,False,,0,,True,3,instructions_3,0.0-7.0-0.2-0.2,True,4,,debught3ku,0,349,debugW8Fl2,debugTNy2j:debught3ku,debug,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",debugTNy2j,"
    
    <style>
      #jspsych-content {
        width: 100%;
        min-height: 88vh;
        display: flex;
        flex-direction: column;
        align-items: center;
        justify-content: center;
        text-align: center;
      }

      #jspsych-html-button-response-stimulus {
        text-align: center;
      }

      #jspsych-html-button-response-btngroup {
        margin-top: 24px !important;
        text-align: center;
      }

      .jspsych-html-button-response-button {
        margin: 0 8px !important;
      }

      .jspsych-html-button-response-button button {
        font-size: 18px !important;
        padding: 7px 18px !important;
      }
    </style>
  

    <div style=""
      max-width: 750px;
      width: 100%;
      margin: 0 auto;
      text-align: center;
      font-size: 22px;
      line-height: 1.4;
    "">
      <h2>Instructions (2/3)</h2>

<p>
  Between forecasting tasks, you will be asked to complete a series of word-judgment tasks.
  You should try to answer as many questions correctly as possible.
  Your score <strong> will not </strong> depend on these word-judgment tasks.
  Do not worry if you do not get them all correct, but please try your best.
  Monetary compensation is conditional upon sufficient performance on these word-judgment tasks.
</p>

<p>
  A word-judgment task will be a simple yes or no question. 
  Given a word, you will answer one of two questions:
</p>

<p>
  1. Is this item living or not living?
</p>

<p>
  2. Will this item fit in a shoebox?
</p>

<p>
  Once again, your score will only depend on your performance on the forecasting tasks, 
  but please try your best on the word-judgment tasks to ensure monetary compensation.
</p>

    </div>
  ",,114214,,7,html-button-response
debugTNy2j:debught3ku,debugTNy2j,debught3ku,debugW8Fl2,1,0,299,debugTNy2j:debught3ku,0,299,299,0.7,size,8,instructions,,,,,,1,9039.600000023842,,,,,,,,,,,,,,,,0.0.1,,,,,,,,,2026-08-03 17:59:58.670077,0.0,chrome,0.0.1,0,299,,127.0.0.1,en-US,debug,windows,,,,,,,False,,,True,,0,,True,4,instructions_4,0.0-7.0-0.3-0.3,True,4,,debught3ku,0,349,debugW8Fl2,debugTNy2j:debught3ku,debug,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",debugTNy2j,"
    
    <style>
      #jspsych-content {
        width: 100%;
        min-height: 88vh;
        display: flex;
        flex-direction: column;
        align-items: center;
        justify-content: center;
        text-align: center;
      }

      #jspsych-html-button-response-stimulus {
        text-align: center;
      }

      #jspsych-html-button-response-btngroup {
        margin-top: 24px !important;
        text-align: center;
      }

      .jspsych-html-button-response-button {
        margin: 0 8px !important;
      }

      .jspsych-html-button-response-button button {
        font-size: 18px !important;
        padding: 7px 18px !important;
      }
    </style>
  

    <div style=""
      max-width: 750px;
      width: 100%;
      margin: 0 auto;
      text-align: center;
      font-size: 22px;
      line-height: 1.4;
    "">
      <h2>Instructions (3/3)</h2>

<p>
  The first few tasks will be practice tasks.
  You will simply enter the number generated by the process to proceed.
  Use this opportunity to familiarize yourself with the mathematical process and the forecasting task.
</p>

<p>
  Do not write anything down or take notes during the experiment. 
  We want to evaluate your memory and forecasting ability.
</p>

<p>
  Feel free to re-read these instructions if you need to.
</p>

<p>
  Good luck!
</p>
    </div>
  ",,123255,,8,html-button-response
debugTNy2j:debught3ku,debugTNy2j,debught3ku,debugW8Fl2,1,0,299,debugTNy2j:debught3ku,0,299,299,0.7,size,9,distractor_question,0,0,size,CLAMP,0,0,4890.400000095367,yes,0,True,,,,,,,,,,,,,0.0.1,,,,,,,,,2026-08-03 17:59:58.670077,0.0,chrome,0.0.1,0,299,,127.0.0.1,en-US,debug,windows,4891.700000047684,4000,True,4890.400000095367,,,False,,,,,0,,True,,,0.0-7.0-1.0-0.0-0.0,True,,,debught3ku,0,349,debugW8Fl2,debugTNy2j:debught3ku,debug,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",debugTNy2j,"
      
    <style>
      #jspsych-content {
        width: 100%;
        min-height: 88vh;
        display: flex;
        flex-direction: column;
        align-items: center;
        justify-content: center;
        text-align: center;
      }

      #jspsych-html-button-response-stimulus {
        text-align: center;
      }

      #jspsych-html-button-response-btngroup {
        margin-top: 28px !important;
        text-align: center;
      }

      .jspsych-html-button-response-button {
        margin: 0 8px !important;
      }

      .jspsych-html-button-response-button button {
        font-size: 20px !important;
        padding: 8px 22px !important;
      }
    </style>
  

      <div style=""
        text-align: center;
      "">
        <div style=""
          font-size: 42px;
          font-weight: bold;
          margin-bottom: 18px;
        "">
          CLAMP
        </div>

        <div style=""
          font-size: 30px;
        "">
          Will this item fit in a shoebox?
        </div>
      </div>
    ",,128147,,9,html-button-response
